"uuid","base","subbase","classe_cnj","orgao_julgador","relator_id","data_julgamento","n_mentions","n_ementa","n_moral","award_ementa","award_any","harm_type"
"428017cd-f158-4d2a-b95b-627fa6d489e3","acordaos","acordaos-tr",202,"PRIMEIRA TURMA RECURSAL","73ededad40",2024-03-26,8,4,2,4000,4000,"credit_listing"
"428ea26e-6ea1-4e05-999a-22cec6d4d14c","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","e43afa8918",2024-03-18,0,NA,NA,NA,NA,"other"
"42ffbdfb-3397-4481-8aa2-d323a2284835","acordaos","acordaos",198,"6ª TURMA CÍVEL","07312dd681",2024-03-13,2,0,2,NA,3000,"credit_listing"
"43154eb7-8751-4ec9-a841-7169eb32d75b","acordaos","acordaos",198,"1ª TURMA CÍVEL","c540fdb8bf",2024-03-06,8,0,0,NA,NA,"other"
"43392c66-f143-4ab1-85b3-e8a1b959ada3","acordaos","acordaos",198,"1ª TURMA CÍVEL","d9e51b3034",2024-03-06,12,0,9,NA,5000,"credit_listing"
"434a9cb7-c2da-4cde-9670-377f4eeedb61","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","249fd17014",2024-03-18,10,3,6,4000,4000,"medical"
"435a6a8a-3562-494d-a367-4fd7428fc956","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","e43afa8918",2024-03-18,0,NA,NA,NA,NA,"honor_privacy"
"43b0bf67-104e-4324-ad69-afd5112133b2","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","914b495bd0",2024-03-04,2,1,2,10000,10000,"honor_privacy"
"43b6ed69-d586-4b08-8623-c347a6696bdc","acordaos","acordaos",198,"2ª TURMA CÍVEL","4981944123",2024-03-20,13,2,6,NA,NA,"credit_listing"
"441c6791-359f-415f-bca5-1d24b828d7ce","acordaos","acordaos",198,"5ª TURMA CÍVEL","d17cb21a51",2024-03-14,24,1,4,10000,10000,"credit_listing"
"45a01219-6768-4161-b2bd-e6907494e9b1","acordaos","acordaos",198,"7ª TURMA CÍVEL","ef17ff9efb",2024-03-20,1,0,0,NA,NA,"consumer_service"
"45ac0923-d8d6-4247-8d02-afa80269de2e","acordaos","acordaos",1689,"5ª TURMA CÍVEL","f07ec5c0df",2024-03-14,0,NA,NA,NA,NA,"other"
